,min,max,mean,std
C,45.0,450.0,327.85714285714283,123.7904484524519
FA,0.0,405.0,122.14285714285714,123.79044845245195
FA/Binder,0.0,0.9,0.27142857142857146,0.27508988544989266
A,0.0,1056.0,528.0,182.53984993077265
T CRAP,0.0,1056.0,527.5238095238095,183.24240859403233
CA,0.0,6.75,2.6785714285714284,2.1578304414390743
Age,3.0,90.0,32.0,34.87587551914778
